"experiment_id","run_id","provider","model_label","temperature","temperature_code","prompt_family_id","prompt_family_slug","family_label","family_group","replicate","prompt_file","expected_output_file","expected_score_input_file","expected_score_output_file","description"
"TRACE_20260611","OpenAI_F01_T00_R001","OpenAI","GPT 5.0 moderate","0.0","00","F01","RF_WRAPPER_ONLY","RF wrapper only","Missing upstream context","1","Experiment_Prompt/OpenAI/Temp_0.0/F01_OpenAI_temp_00_rep_001.md","Experiment_Output/OpenAI/Temp_0.0/output_F01_OpenAI_temp_00_rep_001.md","Score_Input/S__OpenAI_GPT50moderate__F01__temp_00__rep_001.md","Score_Output/OpenAI/Temp_0.0/output_S__F01_OpenAI_temp_00_rep_001.json","Only the downstream Random Forest prediction wrapper is visible; upstream neighbor-feature construction is hidden."
"TRACE_20260611","OpenAI_F01_T00_R002","OpenAI","GPT 5.0 moderate","0.0","00","F01","RF_WRAPPER_ONLY","RF wrapper only","Missing upstream context","2","Experiment_Prompt/OpenAI/Temp_0.0/F01_OpenAI_temp_00_rep_002.md","Experiment_Output/OpenAI/Temp_0.0/output_F01_OpenAI_temp_00_rep_002.md","Score_Input/S__OpenAI_GPT50moderate__F01__temp_00__rep_002.md","Score_Output/OpenAI/Temp_0.0/output_S__F01_OpenAI_temp_00_rep_002.json","Only the downstream Random Forest prediction wrapper is visible; upstream neighbor-feature construction is hidden."
"TRACE_20260611","OpenAI_F01_T00_R003","OpenAI","GPT 5.0 moderate","0.0","00","F01","RF_WRAPPER_ONLY","RF wrapper only","Missing upstream context","3","Experiment_Prompt/OpenAI/Temp_0.0/F01_OpenAI_temp_00_rep_003.md","Experiment_Output/OpenAI/Temp_0.0/output_F01_OpenAI_temp_00_rep_003.md","Score_Input/S__OpenAI_GPT50moderate__F01__temp_00__rep_003.md","Score_Output/OpenAI/Temp_0.0/output_S__F01_OpenAI_temp_00_rep_003.json","Only the downstream Random Forest prediction wrapper is visible; upstream neighbor-feature construction is hidden."
"TRACE_20260611","OpenAI_F01_T00_R004","OpenAI","GPT 5.0 moderate","0.0","00","F01","RF_WRAPPER_ONLY","RF wrapper only","Missing upstream context","4","Experiment_Prompt/OpenAI/Temp_0.0/F01_OpenAI_temp_00_rep_004.md","Experiment_Output/OpenAI/Temp_0.0/output_F01_OpenAI_temp_00_rep_004.md","Score_Input/S__OpenAI_GPT50moderate__F01__temp_00__rep_004.md","Score_Output/OpenAI/Temp_0.0/output_S__F01_OpenAI_temp_00_rep_004.json","Only the downstream Random Forest prediction wrapper is visible; upstream neighbor-feature construction is hidden."
"TRACE_20260611","OpenAI_F01_T00_R005","OpenAI","GPT 5.0 moderate","0.0","00","F01","RF_WRAPPER_ONLY","RF wrapper only","Missing upstream context","5","Experiment_Prompt/OpenAI/Temp_0.0/F01_OpenAI_temp_00_rep_005.md","Experiment_Output/OpenAI/Temp_0.0/output_F01_OpenAI_temp_00_rep_005.md","Score_Input/S__OpenAI_GPT50moderate__F01__temp_00__rep_005.md","Score_Output/OpenAI/Temp_0.0/output_S__F01_OpenAI_temp_00_rep_005.json","Only the downstream Random Forest prediction wrapper is visible; upstream neighbor-feature construction is hidden."
"TRACE_20260611","OpenAI_F01_T00_R006","OpenAI","GPT 5.0 moderate","0.0","00","F01","RF_WRAPPER_ONLY","RF wrapper only","Missing upstream context","6","Experiment_Prompt/OpenAI/Temp_0.0/F01_OpenAI_temp_00_rep_006.md","Experiment_Output/OpenAI/Temp_0.0/output_F01_OpenAI_temp_00_rep_006.md","Score_Input/S__OpenAI_GPT50moderate__F01__temp_00__rep_006.md","Score_Output/OpenAI/Temp_0.0/output_S__F01_OpenAI_temp_00_rep_006.json","Only the downstream Random Forest prediction wrapper is visible; upstream neighbor-feature construction is hidden."
"TRACE_20260611","OpenAI_F01_T00_R007","OpenAI","GPT 5.0 moderate","0.0","00","F01","RF_WRAPPER_ONLY","RF wrapper only","Missing upstream context","7","Experiment_Prompt/OpenAI/Temp_0.0/F01_OpenAI_temp_00_rep_007.md","Experiment_Output/OpenAI/Temp_0.0/output_F01_OpenAI_temp_00_rep_007.md","Score_Input/S__OpenAI_GPT50moderate__F01__temp_00__rep_007.md","Score_Output/OpenAI/Temp_0.0/output_S__F01_OpenAI_temp_00_rep_007.json","Only the downstream Random Forest prediction wrapper is visible; upstream neighbor-feature construction is hidden."
"TRACE_20260611","OpenAI_F01_T00_R008","OpenAI","GPT 5.0 moderate","0.0","00","F01","RF_WRAPPER_ONLY","RF wrapper only","Missing upstream context","8","Experiment_Prompt/OpenAI/Temp_0.0/F01_OpenAI_temp_00_rep_008.md","Experiment_Output/OpenAI/Temp_0.0/output_F01_OpenAI_temp_00_rep_008.md","Score_Input/S__OpenAI_GPT50moderate__F01__temp_00__rep_008.md","Score_Output/OpenAI/Temp_0.0/output_S__F01_OpenAI_temp_00_rep_008.json","Only the downstream Random Forest prediction wrapper is visible; upstream neighbor-feature construction is hidden."
"TRACE_20260611","OpenAI_F01_T00_R009","OpenAI","GPT 5.0 moderate","0.0","00","F01","RF_WRAPPER_ONLY","RF wrapper only","Missing upstream context","9","Experiment_Prompt/OpenAI/Temp_0.0/F01_OpenAI_temp_00_rep_009.md","Experiment_Output/OpenAI/Temp_0.0/output_F01_OpenAI_temp_00_rep_009.md","Score_Input/S__OpenAI_GPT50moderate__F01__temp_00__rep_009.md","Score_Output/OpenAI/Temp_0.0/output_S__F01_OpenAI_temp_00_rep_009.json","Only the downstream Random Forest prediction wrapper is visible; upstream neighbor-feature construction is hidden."
"TRACE_20260611","OpenAI_F01_T00_R010","OpenAI","GPT 5.0 moderate","0.0","00","F01","RF_WRAPPER_ONLY","RF wrapper only","Missing upstream context","10","Experiment_Prompt/OpenAI/Temp_0.0/F01_OpenAI_temp_00_rep_010.md","Experiment_Output/OpenAI/Temp_0.0/output_F01_OpenAI_temp_00_rep_010.md","Score_Input/S__OpenAI_GPT50moderate__F01__temp_00__rep_010.md","Score_Output/OpenAI/Temp_0.0/output_S__F01_OpenAI_temp_00_rep_010.json","Only the downstream Random Forest prediction wrapper is visible; upstream neighbor-feature construction is hidden."
"TRACE_20260611","OpenAI_F01_T00_R011","OpenAI","GPT 5.0 moderate","0.0","00","F01","RF_WRAPPER_ONLY","RF wrapper only","Missing upstream context","11","Experiment_Prompt/OpenAI/Temp_0.0/F01_OpenAI_temp_00_rep_011.md","Experiment_Output/OpenAI/Temp_0.0/output_F01_OpenAI_temp_00_rep_011.md","Score_Input/S__OpenAI_GPT50moderate__F01__temp_00__rep_011.md","Score_Output/OpenAI/Temp_0.0/output_S__F01_OpenAI_temp_00_rep_011.json","Only the downstream Random Forest prediction wrapper is visible; upstream neighbor-feature construction is hidden."
"TRACE_20260611","OpenAI_F01_T00_R012","OpenAI","GPT 5.0 moderate","0.0","00","F01","RF_WRAPPER_ONLY","RF wrapper only","Missing upstream context","12","Experiment_Prompt/OpenAI/Temp_0.0/F01_OpenAI_temp_00_rep_012.md","Experiment_Output/OpenAI/Temp_0.0/output_F01_OpenAI_temp_00_rep_012.md","Score_Input/S__OpenAI_GPT50moderate__F01__temp_00__rep_012.md","Score_Output/OpenAI/Temp_0.0/output_S__F01_OpenAI_temp_00_rep_012.json","Only the downstream Random Forest prediction wrapper is visible; upstream neighbor-feature construction is hidden."
"TRACE_20260611","OpenAI_F01_T00_R013","OpenAI","GPT 5.0 moderate","0.0","00","F01","RF_WRAPPER_ONLY","RF wrapper only","Missing upstream context","13","Experiment_Prompt/OpenAI/Temp_0.0/F01_OpenAI_temp_00_rep_013.md","Experiment_Output/OpenAI/Temp_0.0/output_F01_OpenAI_temp_00_rep_013.md","Score_Input/S__OpenAI_GPT50moderate__F01__temp_00__rep_013.md","Score_Output/OpenAI/Temp_0.0/output_S__F01_OpenAI_temp_00_rep_013.json","Only the downstream Random Forest prediction wrapper is visible; upstream neighbor-feature construction is hidden."
"TRACE_20260611","OpenAI_F01_T00_R014","OpenAI","GPT 5.0 moderate","0.0","00","F01","RF_WRAPPER_ONLY","RF wrapper only","Missing upstream context","14","Experiment_Prompt/OpenAI/Temp_0.0/F01_OpenAI_temp_00_rep_014.md","Experiment_Output/OpenAI/Temp_0.0/output_F01_OpenAI_temp_00_rep_014.md","Score_Input/S__OpenAI_GPT50moderate__F01__temp_00__rep_014.md","Score_Output/OpenAI/Temp_0.0/output_S__F01_OpenAI_temp_00_rep_014.json","Only the downstream Random Forest prediction wrapper is visible; upstream neighbor-feature construction is hidden."
"TRACE_20260611","OpenAI_F01_T00_R015","OpenAI","GPT 5.0 moderate","0.0","00","F01","RF_WRAPPER_ONLY","RF wrapper only","Missing upstream context","15","Experiment_Prompt/OpenAI/Temp_0.0/F01_OpenAI_temp_00_rep_015.md","Experiment_Output/OpenAI/Temp_0.0/output_F01_OpenAI_temp_00_rep_015.md","Score_Input/S__OpenAI_GPT50moderate__F01__temp_00__rep_015.md","Score_Output/OpenAI/Temp_0.0/output_S__F01_OpenAI_temp_00_rep_015.json","Only the downstream Random Forest prediction wrapper is visible; upstream neighbor-feature construction is hidden."
"TRACE_20260611","OpenAI_F01_T00_R016","OpenAI","GPT 5.0 moderate","0.0","00","F01","RF_WRAPPER_ONLY","RF wrapper only","Missing upstream context","16","Experiment_Prompt/OpenAI/Temp_0.0/F01_OpenAI_temp_00_rep_016.md","Experiment_Output/OpenAI/Temp_0.0/output_F01_OpenAI_temp_00_rep_016.md","Score_Input/S__OpenAI_GPT50moderate__F01__temp_00__rep_016.md","Score_Output/OpenAI/Temp_0.0/output_S__F01_OpenAI_temp_00_rep_016.json","Only the downstream Random Forest prediction wrapper is visible; upstream neighbor-feature construction is hidden."
"TRACE_20260611","OpenAI_F01_T00_R017","OpenAI","GPT 5.0 moderate","0.0","00","F01","RF_WRAPPER_ONLY","RF wrapper only","Missing upstream context","17","Experiment_Prompt/OpenAI/Temp_0.0/F01_OpenAI_temp_00_rep_017.md","Experiment_Output/OpenAI/Temp_0.0/output_F01_OpenAI_temp_00_rep_017.md","Score_Input/S__OpenAI_GPT50moderate__F01__temp_00__rep_017.md","Score_Output/OpenAI/Temp_0.0/output_S__F01_OpenAI_temp_00_rep_017.json","Only the downstream Random Forest prediction wrapper is visible; upstream neighbor-feature construction is hidden."
"TRACE_20260611","OpenAI_F01_T00_R018","OpenAI","GPT 5.0 moderate","0.0","00","F01","RF_WRAPPER_ONLY","RF wrapper only","Missing upstream context","18","Experiment_Prompt/OpenAI/Temp_0.0/F01_OpenAI_temp_00_rep_018.md","Experiment_Output/OpenAI/Temp_0.0/output_F01_OpenAI_temp_00_rep_018.md","Score_Input/S__OpenAI_GPT50moderate__F01__temp_00__rep_018.md","Score_Output/OpenAI/Temp_0.0/output_S__F01_OpenAI_temp_00_rep_018.json","Only the downstream Random Forest prediction wrapper is visible; upstream neighbor-feature construction is hidden."
"TRACE_20260611","OpenAI_F01_T00_R019","OpenAI","GPT 5.0 moderate","0.0","00","F01","RF_WRAPPER_ONLY","RF wrapper only","Missing upstream context","19","Experiment_Prompt/OpenAI/Temp_0.0/F01_OpenAI_temp_00_rep_019.md","Experiment_Output/OpenAI/Temp_0.0/output_F01_OpenAI_temp_00_rep_019.md","Score_Input/S__OpenAI_GPT50moderate__F01__temp_00__rep_019.md","Score_Output/OpenAI/Temp_0.0/output_S__F01_OpenAI_temp_00_rep_019.json","Only the downstream Random Forest prediction wrapper is visible; upstream neighbor-feature construction is hidden."
