"experiment_id","run_id","provider","model_label","copilot_temperature_setting","temperature_code","temperature_setting_status","prompt_family_id","prompt_family_slug","family_label","family_group","replicate","raw_output_file","score_input_file","expected_score_output_file","raw_chars","raw_words","raw_bytes"
"TRACE_20260611","OpenAI_F01_T00_R001","OpenAI","GPT 5.0 moderate","0.0","00","copilot_ui_selected_unverified","F01","RF_WRAPPER_ONLY","RF wrapper only","Missing upstream context","1","Experiment_Output/OpenAI/Temp_0.0/output_F01_OpenAI_temp_00_rep_001.md","Score_Input/S__OpenAI_GPT50moderate__F01__temp_00__rep_001.md","Score_Output/S__OpenAI_GPT50moderate__F01__temp_00__rep_001.md","2180","283","2180"
"TRACE_20260611","OpenAI_F01_T00_R002","OpenAI","GPT 5.0 moderate","0.0","00","copilot_ui_selected_unverified","F01","RF_WRAPPER_ONLY","RF wrapper only","Missing upstream context","2","Experiment_Output/OpenAI/Temp_0.0/output_F01_OpenAI_temp_00_rep_002.md","Score_Input/S__OpenAI_GPT50moderate__F01__temp_00__rep_002.md","Score_Output/S__OpenAI_GPT50moderate__F01__temp_00__rep_002.md","2176","295","2176"
"TRACE_20260611","OpenAI_F01_T00_R003","OpenAI","GPT 5.0 moderate","0.0","00","copilot_ui_selected_unverified","F01","RF_WRAPPER_ONLY","RF wrapper only","Missing upstream context","3","Experiment_Output/OpenAI/Temp_0.0/output_F01_OpenAI_temp_00_rep_003.md","Score_Input/S__OpenAI_GPT50moderate__F01__temp_00__rep_003.md","Score_Output/S__OpenAI_GPT50moderate__F01__temp_00__rep_003.md","2525","309","2525"
"TRACE_20260611","OpenAI_F01_T00_R004","OpenAI","GPT 5.0 moderate","0.0","00","copilot_ui_selected_unverified","F01","RF_WRAPPER_ONLY","RF wrapper only","Missing upstream context","4","Experiment_Output/OpenAI/Temp_0.0/output_F01_OpenAI_temp_00_rep_004.md","Score_Input/S__OpenAI_GPT50moderate__F01__temp_00__rep_004.md","Score_Output/S__OpenAI_GPT50moderate__F01__temp_00__rep_004.md","2108","277","2108"
"TRACE_20260611","OpenAI_F01_T00_R005","OpenAI","GPT 5.0 moderate","0.0","00","copilot_ui_selected_unverified","F01","RF_WRAPPER_ONLY","RF wrapper only","Missing upstream context","5","Experiment_Output/OpenAI/Temp_0.0/output_F01_OpenAI_temp_00_rep_005.md","Score_Input/S__OpenAI_GPT50moderate__F01__temp_00__rep_005.md","Score_Output/S__OpenAI_GPT50moderate__F01__temp_00__rep_005.md","2432","306","2432"
"TRACE_20260611","OpenAI_F01_T00_R006","OpenAI","GPT 5.0 moderate","0.0","00","copilot_ui_selected_unverified","F01","RF_WRAPPER_ONLY","RF wrapper only","Missing upstream context","6","Experiment_Output/OpenAI/Temp_0.0/output_F01_OpenAI_temp_00_rep_006.md","Score_Input/S__OpenAI_GPT50moderate__F01__temp_00__rep_006.md","Score_Output/S__OpenAI_GPT50moderate__F01__temp_00__rep_006.md","2314","291","2314"
"TRACE_20260611","OpenAI_F01_T00_R007","OpenAI","GPT 5.0 moderate","0.0","00","copilot_ui_selected_unverified","F01","RF_WRAPPER_ONLY","RF wrapper only","Missing upstream context","7","Experiment_Output/OpenAI/Temp_0.0/output_F01_OpenAI_temp_00_rep_007.md","Score_Input/S__OpenAI_GPT50moderate__F01__temp_00__rep_007.md","Score_Output/S__OpenAI_GPT50moderate__F01__temp_00__rep_007.md","2543","322","2543"
"TRACE_20260611","OpenAI_F01_T00_R008","OpenAI","GPT 5.0 moderate","0.0","00","copilot_ui_selected_unverified","F01","RF_WRAPPER_ONLY","RF wrapper only","Missing upstream context","8","Experiment_Output/OpenAI/Temp_0.0/output_F01_OpenAI_temp_00_rep_008.md","Score_Input/S__OpenAI_GPT50moderate__F01__temp_00__rep_008.md","Score_Output/S__OpenAI_GPT50moderate__F01__temp_00__rep_008.md","2742","348","2742"
"TRACE_20260611","OpenAI_F01_T00_R009","OpenAI","GPT 5.0 moderate","0.0","00","copilot_ui_selected_unverified","F01","RF_WRAPPER_ONLY","RF wrapper only","Missing upstream context","9","Experiment_Output/OpenAI/Temp_0.0/output_F01_OpenAI_temp_00_rep_009.md","Score_Input/S__OpenAI_GPT50moderate__F01__temp_00__rep_009.md","Score_Output/S__OpenAI_GPT50moderate__F01__temp_00__rep_009.md","2225","278","2225"
"TRACE_20260611","OpenAI_F01_T00_R010","OpenAI","GPT 5.0 moderate","0.0","00","copilot_ui_selected_unverified","F01","RF_WRAPPER_ONLY","RF wrapper only","Missing upstream context","10","Experiment_Output/OpenAI/Temp_0.0/output_F01_OpenAI_temp_00_rep_010.md","Score_Input/S__OpenAI_GPT50moderate__F01__temp_00__rep_010.md","Score_Output/S__OpenAI_GPT50moderate__F01__temp_00__rep_010.md","2243","304","2243"
"TRACE_20260611","OpenAI_F01_T00_R011","OpenAI","GPT 5.0 moderate","0.0","00","copilot_ui_selected_unverified","F01","RF_WRAPPER_ONLY","RF wrapper only","Missing upstream context","11","Experiment_Output/OpenAI/Temp_0.0/output_F01_OpenAI_temp_00_rep_011.md","Score_Input/S__OpenAI_GPT50moderate__F01__temp_00__rep_011.md","Score_Output/S__OpenAI_GPT50moderate__F01__temp_00__rep_011.md","2090","277","2090"
"TRACE_20260611","OpenAI_F01_T00_R012","OpenAI","GPT 5.0 moderate","0.0","00","copilot_ui_selected_unverified","F01","RF_WRAPPER_ONLY","RF wrapper only","Missing upstream context","12","Experiment_Output/OpenAI/Temp_0.0/output_F01_OpenAI_temp_00_rep_012.md","Score_Input/S__OpenAI_GPT50moderate__F01__temp_00__rep_012.md","Score_Output/S__OpenAI_GPT50moderate__F01__temp_00__rep_012.md","2549","323","2549"
